array,input_name,base_name,canonical_name,par,tim,canonical_error
NG15,B1855+09,B1855+09,J1857+0943,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/par/B1855+09_PINT_20220301.nb.par,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/tim/B1855+09_PINT_20220301.nb.tim,
NG15,B1937+21,B1937+21,J1939+2134,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/par/B1937+21_PINT_20220306.nb.par,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/tim/B1937+21_PINT_20220306.nb.tim,
NG15,B1953+29,B1953+29,J1955+2908,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/par/B1953+29_PINT_20220301.nb.par,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/tim/B1953+29_PINT_20220301.nb.tim,
NG15,J0023+0923,J0023+0923,J0023+0923,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/par/J0023+0923_PINT_20220301.nb.par,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/tim/J0023+0923_PINT_20220301.nb.tim,
NG15,J0030+0451,J0030+0451,J0030+0451,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/par/J0030+0451_PINT_20220302.nb.par,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/tim/J0030+0451_PINT_20220302.nb.tim,
NG15,J0340+4130,J0340+4130,J0340+4130,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/par/J0340+4130_PINT_20220302.nb.par,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/tim/J0340+4130_PINT_20220302.nb.tim,
NG15,J0406+3039,J0406+3039,J0406+3039,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/par/J0406+3039_PINT_20220304.nb.par,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/tim/J0406+3039_PINT_20220304.nb.tim,
NG15,J0437-4715,J0437-4715,J0437-4715,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/par/J0437-4715_PINT_20220301.nb.par,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/tim/J0437-4715_PINT_20220301.nb.tim,
NG15,J0509+0856,J0509+0856,J0509+0856,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/par/J0509+0856_PINT_20220302.nb.par,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/tim/J0509+0856_PINT_20220302.nb.tim,
NG15,J0557+1551,J0557+1551,J0557+1550,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/par/J0557+1551_PINT_20220302.nb.par,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/tim/J0557+1551_PINT_20220302.nb.tim,
NG15,J0605+3757,J0605+3757,J0605+3757,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/par/J0605+3757_PINT_20220301.nb.par,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/tim/J0605+3757_PINT_20220301.nb.tim,
NG15,J0610-2100,J0610-2100,J0610-2100,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/par/J0610-2100_PINT_20220301.nb.par,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/tim/J0610-2100_PINT_20220301.nb.tim,
NG15,J0613-0200,J0613-0200,J0613-0200,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/par/J0613-0200_PINT_20220302.nb.par,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/tim/J0613-0200_PINT_20220302.nb.tim,
NG15,J0614-3329,J0614-3329,J0614-3329,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/par/J0614-3329_PINT_20220301.nb.par,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/tim/J0614-3329_PINT_20220301.nb.tim,
NG15,J0636+5128,J0636+5128,J0636+5128,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/par/J0636+5128_PINT_20220303.nb.par,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/tim/J0636+5128_PINT_20220303.nb.tim,
NG15,J0645+5158,J0645+5158,J0645+5158,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/par/J0645+5158_PINT_20220302.nb.par,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/tim/J0645+5158_PINT_20220302.nb.tim,
NG15,J0709+0458,J0709+0458,J0709+0458,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/par/J0709+0458_PINT_20220302.nb.par,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/tim/J0709+0458_PINT_20220302.nb.tim,
NG15,J0740+6620,J0740+6620,J0740+6620,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/par/J0740+6620_PINT_20220302.nb.par,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/tim/J0740+6620_PINT_20220302.nb.tim,
NG15,J0931-1902,J0931-1902,J0931-1902,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/par/J0931-1902_PINT_20220301.nb.par,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/tim/J0931-1902_PINT_20220301.nb.tim,
NG15,J1012+5307,J1012+5307,J1012+5307,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/par/J1012+5307_PINT_20220305.nb.par,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/tim/J1012+5307_PINT_20220305.nb.tim,
NG15,J1012-4235,J1012-4235,J1012-4235,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/par/J1012-4235_PINT_20220301.nb.par,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/tim/J1012-4235_PINT_20220301.nb.tim,
NG15,J1022+1001,J1022+1001,J1022+1001,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/par/J1022+1001_PINT_20220304.nb.par,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/tim/J1022+1001_PINT_20220304.nb.tim,
NG15,J1024-0719,J1024-0719,J1024-0719,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/par/J1024-0719_PINT_20220302.nb.par,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/tim/J1024-0719_PINT_20220302.nb.tim,
NG15,J1125+7819,J1125+7819,J1125+7819,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/par/J1125+7819_PINT_20220304.nb.par,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/tim/J1125+7819_PINT_20220304.nb.tim,
NG15,J1312+0051,J1312+0051,J1312+0051,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/par/J1312+0051_PINT_20220303.nb.par,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/tim/J1312+0051_PINT_20220303.nb.tim,
NG15,J1453+1902,J1453+1902,J1453+1902,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/par/J1453+1902_PINT_20220302.nb.par,参考研究课题-PTA引力波/data/nanograv_15yr/NANOGrav15yr_PulsarTiming_v2.1.0/narrowband/tim/J1453+1902_PINT_20220302.nb.tim,
