canonical_name,occurrences,arrays,input_names,is_duplicate,has_alias_names
J0023+0923,1,NG15,J0023+0923,False,False
J0030+0451,4,EPTA;MPTA;NG15;PPTA,J0030+0451,True,False
J0101-6422,1,MPTA,J0101-6422,False,False
J0125-2327,2,MPTA;PPTA,J0125-2327,True,False
J0340+4130,1,NG15,J0340+4130,False,False
J0406+3039,1,NG15,J0406+3039,False,False
J0437-4715,4,InPTA_WB;MPTA;NG15;PPTA,J0437-4715,True,False
J0509+0856,1,NG15,J0509+0856,False,False
J0557+1550,1,NG15,J0557+1551,False,False
J0605+3757,1,NG15,J0605+3757,False,False
J0610-2100,2,MPTA;NG15,J0610-2100,True,False
J0613-0200,5,EPTA;InPTA_WB;MPTA;NG15;PPTA,J0613-0200,True,False
J0614-3329,3,MPTA;NG15;PPTA,J0614-3329,True,False
J0636+5128,1,NG15,J0636+5128,False,False
J0636-3044,1,MPTA,J0636-3044,False,False
J0645+5158,1,NG15,J0645+5158,False,False
J0709+0458,1,NG15,J0709+0458,False,False
J0711-6830,2,MPTA;PPTA,J0711-6830,True,False
J0740+6620,1,NG15,J0740+6620,False,False
J0751+1807,2,EPTA;InPTA_WB,J0751+1807,True,False
J0900-3144,3,EPTA;MPTA;PPTA,J0900-3144,True,False
J0931-1902,2,MPTA;NG15,J0931-1902,True,False
J0955-6150,1,MPTA,J0955-6150,False,False
J1012+5307,3,EPTA;InPTA_WB;NG15,J1012+5307,True,False
J1012-4235,2,MPTA;NG15,J1012-4235,True,False
J1017-7156,2,MPTA;PPTA,J1017-7156,True,False
J1022+1001,5,EPTA;InPTA_WB;MPTA;NG15;PPTA,J1022+1001,True,False
J1024-0719,4,EPTA;MPTA;NG15;PPTA,J1024-0719,True,False
J1036-8317,1,MPTA,J1036-8317,False,False
J1045-4509,2,MPTA;PPTA,J1045-4509,True,False
J1101-6424,1,MPTA,J1101-6424,False,False
J1125+7819,1,NG15,J1125+7819,False,False
J1125-5825,1,MPTA,J1125-5825,False,False
J1125-6014,2,MPTA;PPTA,J1125-6014,True,False
J1216-6410,1,MPTA,J1216-6410,False,False
J1231-1411,1,MPTA,J1231-1411,False,False
J1312+0051,1,NG15,J1312+0051,False,False
J1327-0755,1,MPTA,J1327-0755,False,False
J1421-4409,1,MPTA,J1421-4409,False,False
J1431-5740,1,MPTA,J1431-5740,False,False
J1435-6100,1,MPTA,J1435-6100,False,False
J1446-4701,2,MPTA;PPTA,J1446-4701,True,False
J1453+1902,1,NG15,J1453+1902,False,False
J1455-3330,3,EPTA;MPTA;NG15,J1455-3330,True,False
J1514-4946,1,MPTA,J1514-4946,False,False
J1525-5545,1,MPTA,J1525-5545,False,False
J1543-5149,1,MPTA,J1543-5149,False,False
J1545-4550,2,MPTA;PPTA,J1545-4550,True,False
J1547-5709,1,MPTA,J1547-5709,False,False
J1600-3053,5,EPTA;InPTA_WB;MPTA;NG15;PPTA,J1600-3053,True,False
J1603-7202,2,MPTA;PPTA,J1603-7202,True,False
J1614-2230,2,MPTA;NG15,J1614-2230,True,False
