pulsar,band,timfile,lines,first_nonempty,has_format_1,has_mode_1,comment_rows,data_like_rows,malformed_c_prefix_rows,absolute_first_field_rows,relative_parent_first_field_rows
J0437-4715,NB,data/InPTA_DR1/InPTA.DR1/J0437-4715/J0437-4715.NB.tim,482,FORMAT 1,1,1,29,451,0,0,0
J0437-4715,WB,data/InPTA_DR1/InPTA.DR1/J0437-4715/J0437-4715.WB.tim,18,../data/BAND3.100/J0437-4715_58251.367113_500.rfiClean.fits 450.29205662 58251.376400334034307   0.298  gmrt -pp_dm 2.6464828 -pp_dme 0.0001188 -be GWB -fe uGMRT_B3 -f uGMRT_B3_GWB -nbin 64 -nch 32 -nchx 32 -bw 96.875 -chbw 3.125 -subint 0 -tobs 1620.008 -fratio 1.241 -tmplt J0437-4715.spl -snr 913.455 -gof 3.930,0,0,0,18,0,0,18
J0613-0200,NB,data/InPTA_DR1/InPTA.DR1/J0613-0200/J0613-0200.NB.tim,401,FORMAT 1,1,1,0,399,0,0,0
J0613-0200,WB,data/InPTA_DR1/InPTA.DR1/J0613-0200/J0613-0200.WB.tim,32,fits/100/J0613-0200_58251.391409_500.rfiClean.fits 438.08252916 58251.400705867926087   1.446  gmrt -pp_dm 38.7782159 -pp_dme 0.0008390 -be GWB -fe uGMRT_B3 -f uGMRT_B3_GWB -nbin 32 -nch 32 -nchx 32 -bw 96.875 -chbw 3.125 -subint 0 -tobs 1620.008 -fratio 1.241 -tmplt files/J0613-0200.spl -snr 68.463 -gof 1.010,0,0,0,32,0,0,0
J0751+1807,NB,data/InPTA_DR1/InPTA.DR1/J0751+1807/J0751+1807.NB.tim,308,FORMAT 1,1,1,110,196,6,0,0
J0751+1807,WB,data/InPTA_DR1/InPTA.DR1/J0751+1807/J0751+1807.WB.tim,32,/Data/dkharbanda/WB_Run3/J0751+1807/fits/100/J0751+1807_58266.391183_500.rfiClean.fits 434.22784023 58266.399432799995123   22.188  gmrt -pp_dm 30.2337692 -pp_dme 0.0098071 -be GWB -fe uGMRT_B3 -f uGMRT_B3_GWB -nbin 32 -nch 32 -nchx 32 -bw 96.875 -chbw 3.125 -subint 0 -tobs 1440.156 -fratio 1.241 -tmplt J0751+1807.spl -snr 11.596 -gof 1.658,0,0,0,32,0,32,0
J1012+5307,NB,data/InPTA_DR1/InPTA.DR1/J1012+5307/J1012+5307.NB.tim,366,FORMAT 1,1,1,7,357,0,0,0
J1012+5307,WB,data/InPTA_DR1/InPTA.DR1/J1012+5307/J1012+5307.WB.tim,28,/Data/dkharbanda/WB_Run3/J1012+5307/fits/100/J1012+5307_58266.417716_500.rfiClean.fits 438.67934027 58266.425995055295720   2.179  gmrt -pp_dm 9.0217213 -pp_dme 0.0011209 -be GWB -fe uGMRT_B3 -f uGMRT_B3_GWB -nbin 64 -nch 32 -nchx 32 -bw 96.875 -chbw 3.125 -subint 0 -tobs 1438.814 -fratio 1.241 -tmplt J1012+5307.spl -snr 120.964 -gof 1.173,0,0,0,28,0,28,0
J1022+1001,NB,data/InPTA_DR1/InPTA.DR1/J1022+1001/J1022+1001.NB.tim,637,FORMAT 1,1,1,158,477,0,0,0
J1022+1001,WB,data/InPTA_DR1/InPTA.DR1/J1022+1001/J1022+1001.WB.tim,30,FILES100/J1022+1001_58266.443131_500.rfiClean.fits 428.43638180 58266.451400164463191   1.536  gmrt -pp_dm 10.2477677 -pp_dme 0.0014166 -be GWB -fe uGMRT_B3 -f uGMRT_B3_GWB -nbin 128 -nch 32 -nchx 32 -bw 96.875 -chbw 3.125 -subint 0 -tobs 1436.130 -fratio 1.241 -tmplt ./J1022+1001.nch64.nbin128.spl -snr 289.657 -gof 1.505,0,0,0,30,0,0,0
