index,array,name,base_name,status,reason,source,parfile,timfile,policy,priority_order
0,NG15,J1853+1303,J1853+1303,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
1,NG15,J1903+0327,J1903+0327,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
2,NG15,J2214+3000,J2214+3000,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
3,NG15,J1012-4235,J1012-4235,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
4,NG15,J1453+1902,J1453+1902,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
5,NG15,J0509+0856,J0509+0856,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
6,NG15,J2017+0603,J2017+0603,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
7,NG15,J0740+6620,J0740+6620,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
8,NG15,J2234+0611,J2234+0611,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
9,NG15,J1614-2230,J1614-2230,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
10,NG15,J0645+5158,J0645+5158,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
11,NG15,B1855+09,B1855+09,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
12,NG15,J0023+0923,J0023+0923,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
13,NG15,J0406+3039,J0406+3039,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
14,NG15,J2229+2643,J2229+2643,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
15,NG15,J0557+1551,J0557+1551,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
16,NG15,J0340+4130,J0340+4130,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
17,NG15,J0931-1902,J0931-1902,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
18,NG15,J1923+2515,J1923+2515,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
19,NG15,J0605+3757,J0605+3757,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
20,NG15,B1953+29,B1953+29,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
21,NG15,J1125+7819,J1125+7819,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
22,NG15,B1937+21,B1937+21,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
23,NG15,J0709+0458,J0709+0458,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
24,NG15,J1719-1438,J1719-1438,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
25,NG15,J2043+1711,J2043+1711,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
26,NG15,J1811-2405,J1811-2405,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
27,NG15,J2234+0944,J2234+0944,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
28,NG15,J2010-1323,J2010-1323,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
29,NG15,J2302+4442,J2302+4442,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
30,NG15,J0636+5128,J0636+5128,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
31,NG15,J2317+1439,J2317+1439,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
32,NG15,J1312+0051,J1312+0051,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
33,NG15,J1747-4036,J1747-4036,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
34,NG15,J1944+0907,J1944+0907,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
35,NG15,J1802-2124,J1802-2124,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
36,NG15,J1946+3417,J1946+3417,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
37,NG15,J1745+1017,J1745+1017,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
38,NG15,J1705-1903,J1705-1903,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
39,NG15,J0610-2100,J0610-2100,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
40,NG15,J2033+1734,J2033+1734,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
41,NG15,J1630+3734,J1630+3734,retained,unique across selected arrays,feather,,,unique_only_reduced_3array_development,
42,EPTA,J0751+1807,J0751+1807,retained,unique across selected arrays,par_tim,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J0751+1807/J0751+1807.par,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J0751+1807/J0751+1807_all.tim,unique_only_reduced_3array_development,
43,EPTA,J1801-1417,J1801-1417,retained,unique across selected arrays,par_tim,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1801-1417/J1801-1417.par,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1801-1417/J1801-1417_all.tim,unique_only_reduced_3array_development,
44,EPTA,J1804-2717,J1804-2717,retained,unique across selected arrays,par_tim,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1804-2717/J1804-2717.par,data/EPTA_DR2/epta-dr2/EPTA-DR2/DR2new+/J1804-2717/J1804-2717_all.tim,unique_only_reduced_3array_development,
45,PPTA,J0125-2327,J0125-2327,retained,unique across selected arrays,par_tim,data/PPTA_DR3_github/analysis_codes/data/all/J0125-2327.par,data/PPTA_DR3_github/analysis_codes/data/all/J0125-2327.tim,unique_only_reduced_3array_development,
46,PPTA,J0614-3329,J0614-3329,retained,unique across selected arrays,par_tim,data/PPTA_DR3_github/analysis_codes/data/all/J0614-3329.par,data/PPTA_DR3_github/analysis_codes/data/all/J0614-3329.tim,unique_only_reduced_3array_development,
47,PPTA,J0711-6830,J0711-6830,retained,unique across selected arrays,par_tim,data/PPTA_DR3_github/analysis_codes/data/all/J0711-6830.par,data/PPTA_DR3_github/analysis_codes/data/all/J0711-6830.tim,unique_only_reduced_3array_development,
48,PPTA,J1017-7156,J1017-7156,retained,unique across selected arrays,par_tim,data/PPTA_DR3_github/analysis_codes/data/all/J1017-7156.par,data/PPTA_DR3_github/analysis_codes/data/all/J1017-7156.tim,unique_only_reduced_3array_development,
49,PPTA,J1045-4509,J1045-4509,retained,unique across selected arrays,par_tim,data/PPTA_DR3_github/analysis_codes/data/all/J1045-4509.par,data/PPTA_DR3_github/analysis_codes/data/all/J1045-4509.tim,unique_only_reduced_3array_development,
50,PPTA,J1125-6014,J1125-6014,retained,unique across selected arrays,par_tim,data/PPTA_DR3_github/analysis_codes/data/all/J1125-6014.par,data/PPTA_DR3_github/analysis_codes/data/all/J1125-6014.tim,unique_only_reduced_3array_development,
51,PPTA,J1446-4701,J1446-4701,retained,unique across selected arrays,par_tim,data/PPTA_DR3_github/analysis_codes/data/all/J1446-4701.par,data/PPTA_DR3_github/analysis_codes/data/all/J1446-4701.tim,unique_only_reduced_3array_development,
52,PPTA,J1545-4550,J1545-4550,retained,unique across selected arrays,par_tim,data/PPTA_DR3_github/analysis_codes/data/all/J1545-4550.par,data/PPTA_DR3_github/analysis_codes/data/all/J1545-4550.tim,unique_only_reduced_3array_development,
53,PPTA,J1603-7202,J1603-7202,retained,unique across selected arrays,par_tim,data/PPTA_DR3_github/analysis_codes/data/all/J1603-7202.par,data/PPTA_DR3_github/analysis_codes/data/all/J1603-7202.tim,unique_only_reduced_3array_development,
54,PPTA,J1824-2452A,J1824-2452A,retained,unique across selected arrays,par_tim,data/PPTA_DR3_github/analysis_codes/data/all/J1824-2452A.par,data/PPTA_DR3_github/analysis_codes/data/all/J1824-2452A.tim,unique_only_reduced_3array_development,
55,PPTA,J1902-5105,J1902-5105,retained,unique across selected arrays,par_tim,data/PPTA_DR3_github/analysis_codes/data/all/J1902-5105.par,data/PPTA_DR3_github/analysis_codes/data/all/J1902-5105.tim,unique_only_reduced_3array_development,
56,PPTA,J1933-6211,J1933-6211,retained,unique across selected arrays,par_tim,data/PPTA_DR3_github/analysis_codes/data/all/J1933-6211.par,data/PPTA_DR3_github/analysis_codes/data/all/J1933-6211.tim,unique_only_reduced_3array_development,
57,PPTA,J1939+2134,J1939+2134,retained,unique across selected arrays,par_tim,data/PPTA_DR3_github/analysis_codes/data/all/J1939+2134.par,data/PPTA_DR3_github/analysis_codes/data/all/J1939+2134.tim,unique_only_reduced_3array_development,
58,PPTA,J2129-5721,J2129-5721,retained,unique across selected arrays,par_tim,data/PPTA_DR3_github/analysis_codes/data/all/J2129-5721.par,data/PPTA_DR3_github/analysis_codes/data/all/J2129-5721.tim,unique_only_reduced_3array_development,
59,PPTA,J2241-5236,J2241-5236,retained,unique across selected arrays,par_tim,data/PPTA_DR3_github/analysis_codes/data/all/J2241-5236.par,data/PPTA_DR3_github/analysis_codes/data/all/J2241-5236.tim,unique_only_reduced_3array_development,
,NG15,J2124-3358,J2124-3358,skipped,duplicate pulsar name excluded by unique-only policy,feather,,,unique_only_reduced_3array_development,
,NG15,J0030+0451,J0030+0451,skipped,duplicate pulsar name excluded by unique-only policy,feather,,,unique_only_reduced_3array_development,
,NG15,J1713+0747,J1713+0747,skipped,duplicate pulsar name excluded by unique-only policy,feather,,,unique_only_reduced_3array_development,
