catalog,bin,valid_pixels,mask_fraction,rms_before_norm,pair_mean,pair_std,pair_l2,pearson_with_hd,max_abs_pair,orf_vector,pair_index
twompz,all,49152,1.0,0.6117115816415767,0.002263897345094278,0.014696608470342482,0.6992041480370265,0.42899460982405696,0.05276886190191768,data/LSS/orf_templates/twompz_all_prod_nside64_local_nulls_20260425_ng15_orf_pairs.npy,data/LSS/orf_templates/ng15_pair_index_prod_nside64_local_nulls_20260425.csv
twompz,z_0_0p1,49152,1.0,0.7270403981545074,0.002268929841175864,0.011138855839259484,0.5345186415296622,0.4940647460614628,0.040303757677929326,data/LSS/orf_templates/twompz_z_0_0p1_prod_nside64_local_nulls_20260425_ng15_orf_pairs.npy,data/LSS/orf_templates/ng15_pair_index_prod_nside64_local_nulls_20260425.csv
twompz,z_0p1_0p2,49152,1.0,0.7512311987579574,0.00114056162714084,0.01573907869137401,0.7420121749678488,0.30905487798506104,0.05420965474078964,data/LSS/orf_templates/twompz_z_0p1_0p2_prod_nside64_local_nulls_20260425_ng15_orf_pairs.npy,data/LSS/orf_templates/ng15_pair_index_prod_nside64_local_nulls_20260425.csv
twompz,z_0_0p2,49152,1.0,0.6199611644525315,0.002267893437034191,0.014416274748892356,0.6862082742951279,0.4357490886837836,0.05199034053421247,data/LSS/orf_templates/twompz_z_0_0p2_prod_nside64_local_nulls_20260425_ng15_orf_pairs.npy,data/LSS/orf_templates/ng15_pair_index_prod_nside64_local_nulls_20260425.csv
twompz,z_0p2_0p3,49152,1.0,1.6994956933038337,0.0003189892347900898,0.007629294206801396,0.3590525477187762,0.18450321404061784,0.023239831773335946,data/LSS/orf_templates/twompz_z_0p2_0p3_prod_nside64_local_nulls_20260425_ng15_orf_pairs.npy,data/LSS/orf_templates/ng15_pair_index_prod_nside64_local_nulls_20260425.csv
wisexscos,all,33415,0.6798299153645834,0.6584743351467652,-0.0024540966408629315,0.02445799797840802,1.1558209812794076,0.16745977289514513,0.0794445519573784,data/LSS/orf_templates/wisexscos_all_prod_nside64_local_nulls_20260425_ng15_orf_pairs.npy,data/LSS/orf_templates/ng15_pair_index_prod_nside64_local_nulls_20260425.csv
wisexscos,z_0_0p1,33415,0.6798299153645834,0.850850014648766,-0.0018825222054123679,0.012921028927452517,0.6139776853745056,-0.1566987220296361,0.06134017819245331,data/LSS/orf_templates/wisexscos_z_0_0p1_prod_nside64_local_nulls_20260425_ng15_orf_pairs.npy,data/LSS/orf_templates/ng15_pair_index_prod_nside64_local_nulls_20260425.csv
wisexscos,z_0p1_0p2,33415,0.6798299153645834,0.6894835083144253,-0.002374905418200973,0.023171997616528467,1.0952844500726315,0.16885186890976714,0.0766028752800394,data/LSS/orf_templates/wisexscos_z_0p1_0p2_prod_nside64_local_nulls_20260425_ng15_orf_pairs.npy,data/LSS/orf_templates/ng15_pair_index_prod_nside64_local_nulls_20260425.csv
wisexscos,z_0_0p2,33415,0.6798299153645834,0.6951377954108728,-0.002343140266117419,0.0207243898586305,0.980695828458941,0.11291744862049931,0.07222077529821679,data/LSS/orf_templates/wisexscos_z_0_0p2_prod_nside64_local_nulls_20260425_ng15_orf_pairs.npy,data/LSS/orf_templates/ng15_pair_index_prod_nside64_local_nulls_20260425.csv
wisexscos,z_0p2_0p3,33415,0.6798299153645834,0.6805938865655282,-0.0024390692304685968,0.027852342159968846,1.3146646613349615,0.22322409383476924,0.08215127331669356,data/LSS/orf_templates/wisexscos_z_0p2_0p3_prod_nside64_local_nulls_20260425_ng15_orf_pairs.npy,data/LSS/orf_templates/ng15_pair_index_prod_nside64_local_nulls_20260425.csv
