model,family,source_type,n_params,param_names,prior_ranges,local_ppta,local_ng15,local_epta,official_ng15,dimension_sanity,status,error
SMBHB-PowerLaw,Astro-simple,astrophysical,2,log10_A;gamma,"{""log10_A"": [-18.0, -13.0], ""gamma"": [0.0, 7.0]}",available,available_hd,available,available_hd,pass,pass,
SMBHB-Turnover,Astro-simple,astrophysical,4,log10_A;gamma;log10_f_bend;kappa,"{""log10_A"": [-18.0, -13.0], ""gamma"": [0.0, 7.0], ""log10_f_bend"": [-9.0, -7.0], ""kappa"": [0.0, 6.666666666666667]}",available,available_hd,available,available_hd,pass,pass,
SMBHB-Env,Astro-curved,astrophysical,3,log10_A;log10_fbend;kappa,"{""log10_A"": [-18.0, -11.0], ""log10_fbend"": [-9.8, -7.0], ""kappa"": [0.5, 8.0]}",available,available_hd,available,available_hd,pass,pass,
SMBHB-BrokenPL,Astro-curved,astrophysical,4,log10_A;log10_fbend;delta;kappa,"{""log10_A"": [-18.0, -11.0], ""log10_fbend"": [-10.0, -6.8], ""delta"": [0.0, 6.0], ""kappa"": [0.5, 8.0]}",available,available_hd,available,available_hd,pass,pass,
SMBHB-Eccentric,Astro-curved,astrophysical,3,log10_A;log10_fe;beta,"{""log10_A"": [-18.0, -11.0], ""log10_fe"": [-10.0, -6.8], ""beta"": [0.0, 3.0]}",available,available_hd,available,available_hd,pass,pass,
PBH-SIGW-Analytic,SIGW-like,cosmological,3,log10_A_zeta;log10_f_star;sigma_ps,"{""log10_A_zeta"": [-3.0, 0.0], ""log10_f_star"": [-10.0, -6.0], ""sigma_ps"": [0.1, 3.0]}",available,available_hd,available,available_hd,pass,pass,
SIGW-Gaussian,SIGW-like,cosmological,3,log10_fpeak;width;log10_A,"{""log10_fpeak"": [-11.0, -5.0], ""width"": [0.1, 3.0], ""log10_A"": [-3.0, 1.0]}",available,available_hd,available,available_hd,pass,pass,
SIGW-Delta,SIGW-like,cosmological,2,log10_f_peak;log10_A,"{""log10_f_peak"": [-11.0, -5.0], ""log10_A"": [-3.0, 1.0]}",available,available_hd,available,available_hd,pass,pass,
Cosmic-Superstrings,Cosmo-other,cosmological,2,log10_Gmu;log10_P,"{""log10_Gmu"": [-14.0, -6.0], ""log10_P"": [-3.0, 0.0]}",available,available_hd,available,available_hd,pass,pass,
DomainWall,Cosmo-other,cosmological,3,log10_sigma_wall;log10_T_ann;epsilon_gw,"{""log10_sigma_wall"": [3.0, 12.0], ""log10_T_ann"": [-3.0, 3.0], ""epsilon_gw"": [0.1, 2.0]}",available,available_hd,available,available_hd,pass,pass,
PhaseTransition-Total,Cosmo-other,cosmological,5,log10_T_star;log10_alpha;log10_beta_H;v_w;epsilon,"{""log10_T_star"": [-3.0, 3.0], ""log10_alpha"": [-2.0, 2.0], ""log10_beta_H"": [0.0, 4.0], ""v_w"": [0.1, 1.0], ""epsilon"": [0.01, 0.2]}",available,available_hd,available,available_hd,pass,pass,
