rank,model,family,ln_Z,ln_Z_err,delta_to_best,n_dim,nlive,seed,status,error
9,SMBHB-PowerLaw,Astro-simple,-64.13023401122464,0.12357081238349304,-1.5359232298510719,2,500,20260422,pass,
8,SMBHB-Turnover,Astro-simple,-63.61460082779004,0.123739218230902,-1.02029004641647,4,500,20260422,pass,
7,SMBHB-Env,Astro-curved,-63.52701347320343,0.12328687389941013,-0.93270269182986,3,500,20260422,pass,
6,SMBHB-BrokenPL,Astro-curved,-63.34384918549798,0.1211053759712834,-0.749538404124408,4,500,20260422,pass,
5,SMBHB-Eccentric,Astro-curved,-63.21467261184196,0.12094411377922226,-0.62036183046839,3,500,20260422,pass,
3,PBH-SIGW-Analytic,SIGW-like,-62.773792851090995,0.11409525163911816,-0.1794820697174231,3,500,20260422,pass,
4,SIGW-Gaussian,SIGW-like,-63.04613946870363,0.1143433812585084,-0.45182868733005677,3,500,20260422,pass,
2,SIGW-Delta,SIGW-like,-62.711009062907294,0.10985032465210551,-0.11669828153372208,2,500,20260422,pass,
1,Cosmic-Superstrings,Cosmo-other,-62.59431078137357,0.10933941053353032,0.0,2,500,20260422,pass,
11,DomainWall,Cosmo-other,-65.12129730677668,0.13536924159205949,-2.5269865254031103,3,500,20260422,pass,
10,PhaseTransition-Total,Cosmo-other,-64.4876850405219,0.12926886655320965,-1.8933742591483238,5,500,20260422,pass,
